time,phb_gl,phb_sd,ace_mm,ace_sd,pi_mm,pi_sd,biom_gl,biom_sd
0,0.000814,0.004,72.58506808,7.26E+00,0.1036025,1.04E-02,0.002289678,0.001082693
5,0.001572561,0.004,25.62763765,6.045212,0.01722589,0.004482226,0.04848296,0.01455834
6.583333,0.001560227,0.004,24.83068517,2.483068517,0.001458662,0.000593801,0.1729456,0.01729456
8.638889,0.009701554,0.008363897,17.57984665,1.76E+00,0.001207662,0.001028545,0.1959862,0.03896935
14.833333,0.0674952,0.01117994,18.3155756,2.32,0.000864831,0.00089429,0.357822,0.0357822
25,0.06778886,0.03596975,3.396985251,9.45E-01,0.002829786,2.83E-04,0.4315949,0.07327334
