time,phb_gl,phb_sd,ace_mm,ace_sd,pi_mm,pi_sd,biom_gl,biom_sd
0,4.07E-04,4.00E-03,5.90E+01,5.90E+00,1.106976179,1.11E-01,3.03E-03,1.89E-03
5.25,1.05E-03,4.00E-03,2.78E+01,1.21E+01,0.804482028,0.133605328,1.45E-01,3.20E-02
7.833333,1.08E-03,4.00E-03,1.38E+01,2.78E+00,0.624558138,0.027901674,5.49E-01,9.40E-02
11.166667,1.05E-03,4.00E-03,1.70E-01,1.70E-02,0.227245484,0.061946124,9.65E-01,2.96E-01
23.333333,1.10E-03,4.00E-03,1.71E-01,1.71E-02,0.310038226,0.077062153,6.98E-01,6.98E-02
